gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43430.100,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.300,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.400,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.500,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.600,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.700,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.800,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43430.900,33.7139352,73.0883370,554.10,0.000,0.000,0.80,17
43431.000,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.100,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.200,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.400,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.500,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.600,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.700,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.800,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43431.900,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43432.000,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
43432.100,33.7139352,73.0883370,554.20,0.000,0.000,0.80,17
